epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,10651.3,0.9083,0.3993,1.06146,0.97376,0.97095,0.98621,0.71107,1.10226,0.36248,1.14061,0.00314071,0.00314071,0.00314071
99,10984.1,0.90392,0.3977,1.06257,0.97614,0.96767,0.98637,0.71074,1.1022,0.36236,1.14065,0.00307,0.00307,0.00307
100,11318,0.90412,0.39707,1.0608,0.97637,0.96802,0.9864,0.71106,1.10228,0.36233,1.1408,0.00299929,0.00299929,0.00299929
101,11648,0.89964,0.39457,1.05918,0.97637,0.96799,0.98649,0.7114,1.10187,0.36215,1.14064,0.00292857,0.00292857,0.00292857
102,11979.5,0.90135,0.39448,1.05973,0.97637,0.96812,0.9857,0.71175,1.10218,0.36157,1.14067,0.00285786,0.00285786,0.00285786
103,12312.6,0.89581,0.39183,1.05855,0.97684,0.96826,0.98603,0.71213,1.10211,0.36217,1.14077,0.00278714,0.00278714,0.00278714
104,12644.9,0.88989,0.38859,1.05535,0.97683,0.96792,0.98615,0.71163,1.10223,0.36211,1.14087,0.00271643,0.00271643,0.00271643
105,12975.9,0.89087,0.3869,1.05742,0.97707,0.96813,0.9863,0.71103,1.10232,0.36218,1.14104,0.00264571,0.00264571,0.00264571
106,13308.8,0.88588,0.38788,1.05306,0.97707,0.96767,0.98648,0.71118,1.10257,0.36204,1.14129,0.002575,0.002575,0.002575
107,13644,0.88289,0.38504,1.04834,0.97682,0.96782,0.9864,0.71216,1.1027,0.36146,1.14148,0.00250429,0.00250429,0.00250429
108,13975.8,0.88367,0.3858,1.05309,0.97774,0.96758,0.98671,0.71277,1.10235,0.36075,1.1415,0.00243357,0.00243357,0.00243357
109,14308.2,0.879,0.38231,1.04892,0.97691,0.96767,0.98573,0.71254,1.10268,0.36086,1.1417,0.00236286,0.00236286,0.00236286
110,14646,0.88025,0.38179,1.05048,0.97682,0.96768,0.98578,0.71261,1.10281,0.36086,1.14179,0.00229214,0.00229214,0.00229214
111,14979.3,0.87698,0.3818,1.04641,0.97768,0.96767,0.98584,0.71234,1.10316,0.36102,1.14201,0.00222143,0.00222143,0.00222143
112,15312,0.87147,0.378,1.04549,0.97789,0.96813,0.98582,0.7118,1.10349,0.36051,1.14224,0.00215071,0.00215071,0.00215071
113,15645.4,0.86402,0.37188,1.04176,0.97818,0.96813,0.98606,0.71256,1.10344,0.36033,1.14232,0.00208,0.00208,0.00208
114,15978.5,0.86608,0.37205,1.04227,0.97891,0.96813,0.98616,0.71244,1.10335,0.35989,1.14249,0.00200929,0.00200929,0.00200929
115,16312.1,0.86564,0.37267,1.04161,0.97984,0.96813,0.98621,0.71143,1.10362,0.35962,1.14282,0.00193857,0.00193857,0.00193857
116,16645.8,0.86652,0.37451,1.0403,0.97953,0.96813,0.98621,0.71175,1.10381,0.35931,1.14288,0.00186786,0.00186786,0.00186786
117,16979.7,0.86017,0.3724,1.04104,0.97914,0.9686,0.98645,0.71159,1.10417,0.35919,1.14322,0.00179714,0.00179714,0.00179714
118,17313.5,0.85685,0.36917,1.03684,0.97868,0.96801,0.98627,0.71147,1.10447,0.35883,1.14337,0.00172643,0.00172643,0.00172643
119,17646.4,0.85431,0.36645,1.03341,0.97914,0.96767,0.98599,0.71164,1.10498,0.35918,1.14358,0.00165571,0.00165571,0.00165571
120,17978.8,0.85152,0.3686,1.03266,0.97963,0.96767,0.98622,0.71201,1.10503,0.3595,1.14362,0.001585,0.001585,0.001585
121,18312.2,0.85293,0.36619,1.0355,0.97861,0.96813,0.98561,0.71191,1.10522,0.35891,1.14372,0.00151429,0.00151429,0.00151429
122,18643.9,0.84328,0.36121,1.03176,0.97819,0.96907,0.98571,0.71198,1.10576,0.35902,1.14411,0.00144357,0.00144357,0.00144357
123,18977.2,0.84119,0.36047,1.02882,0.97916,0.96874,0.98614,0.71238,1.10609,0.35898,1.14431,0.00137286,0.00137286,0.00137286
124,19301.7,0.84251,0.36151,1.03256,0.97944,0.96907,0.98623,0.71245,1.10627,0.35911,1.14463,0.00130214,0.00130214,0.00130214
125,19620.2,0.8355,0.35836,1.02992,0.97955,0.9686,0.98631,0.71257,1.10651,0.35923,1.145,0.00123143,0.00123143,0.00123143
126,19956.8,0.83766,0.35918,1.0275,0.9787,0.96911,0.98635,0.71239,1.10696,0.35908,1.14547,0.00116071,0.00116071,0.00116071
127,20295.3,0.83458,0.35704,1.02641,0.981,0.96782,0.98641,0.7117,1.10722,0.35899,1.14565,0.00109,0.00109,0.00109
128,20631.3,0.82846,0.35363,1.0254,0.9801,0.9692,0.98627,0.71144,1.1077,0.3584,1.14627,0.00101929,0.00101929,0.00101929
